timestamp,license_plate,confidence,vehicle_type,track_id,violations,signal
1775467663.648295,NA1JNRU,0.24,vehicle,1,Wrong Lane;Red Light Jump,RED
1775467664.648788,WAI3NRU,0.28,vehicle,0,Wrong Lane;Red Light Jump,RED
1775467665.049115,MA3NRU,0.35,vehicle,0,Wrong Lane;Red Light Jump,RED
1775467670.8582242,GXIS05J,0.37,vehicle,0,Wrong Lane,GREEN
1775467672.303678,GXIS0GJ,0.32,vehicle,1,Wrong Lane,GREEN
1775467674.0413408,GXIS0GJ,0.28,vehicle,3,Wrong Lane,GREEN
1775467674.427199,CXIS0GJ,0.30,vehicle,1,Wrong Lane,GREEN
1775467674.671711,CXIS0GJ,0.32,vehicle,0,Wrong Lane,GREEN
1775467675.005059,GXIS0GJ,0.34,vehicle,0,Wrong Lane,GREEN
1775467675.3982038,GXIS0G,0.27,vehicle,0,Wrong Lane,GREEN
1775467676.509202,GXI5OGJ,0.38,vehicle,2,Wrong Lane,GREEN
1775467676.821553,GXIS0G,0.28,vehicle,2,Wrong Lane,GREEN
1775467677.182465,GXIS0G,0.33,vehicle,2,Wrong Lane,GREEN
1775467677.487555,GXIS0G,0.44,vehicle,1,Wrong Lane,GREEN
1775467677.853442,GXIS0GJ,0.41,vehicle,0,Wrong Lane,GREEN
1775467678.961548,GXIS0GJ,0.55,vehicle,1,Wrong Lane,GREEN
1775467679.703318,GXIS0C,0.27,vehicle,1,Wrong Lane,GREEN
1775467680.591821,GXIS0GJ,0.24,vehicle,1,Wrong Lane,GREEN
1775467680.8949919,GXIS0GJ,0.38,vehicle,1,Wrong Lane,GREEN
1775467681.0995681,GXI5OCJ,0.29,vehicle,1,Wrong Lane,GREEN
1775467681.4063869,GXIS0GJ,0.35,vehicle,1,Wrong Lane,GREEN
1775467681.7277498,GXIS0GJ,0.44,vehicle,1,Wrong Lane,GREEN
1775467682.3130639,GXI5OGJ,0.50,vehicle,0,Wrong Lane,GREEN
1775467683.026597,GXIS0G,0.20,vehicle,0,Wrong Lane,GREEN
1775467685.0581062,GXIS0GJ,0.22,vehicle,1,Wrong Lane,GREEN
